# number of annotations: 3390
# number of IDs: 27
# %sparse: 19.57

# the sum and mean counts per row
                  sum     mean
5.4.99.22    17683.62   654.95
3.6.3.29     17645.57   653.54
3.2.1.15     17630.27   652.97
2.5.1.3      17579.67   651.10
3.1.3.1      17574.15   650.89
2.8.1.13     17569.68   650.73
2.4.2.29     17551.27   650.05
4.1.3.1      17512.76   648.62
6.3.1.5      17480.13   647.41
3.4.24.40    17477.12   647.30
4.2.1.8      17429.23   645.53
2.7.8.13     17403.80   644.59
2.5.1.75     17300.44   640.76
4.3.3.6      17298.16   640.67
1.20.4.1     17280.38   640.01
2.4.99.13    17251.40   638.94
2.4.99.12    17251.40   638.94
2.4.99.14    17251.40   638.94
2.4.99.15    17251.40   638.94
2.7.1.5      17250.00   638.89
3.5.1.42     17228.51   638.09
2.7.1.26     17117.21   633.97
4.1.2.48     17087.55   632.87
1.3.1.12     17058.43   631.79
3.4.11.18    17018.28   630.31
2.3.1.54     16983.61   629.02
2.5.1.15     16960.61   628.17
1.1.1.86     16950.85   627.81
1.2.1.18     16915.55   626.50
1.2.1.27     16915.55   626.50
1.17.99.6    16907.94   626.22
1.4.1.1      16885.63   625.39
5.4.99.25    16824.34   623.12
1.1.1.37     16745.69   620.21
2.7.1.39     16678.22   617.71
3.6.3.34     16631.05   615.96
2.7.1.23     16614.55   615.35
1.2.1.38     16565.49   613.54
2.7.3.9      16485.45   610.57
1.1.1.219    16460.67   609.65
2.8.4.5      16448.16   609.19
3.4.21.50    16403.43   607.53
1.3.98.1     16387.30   606.94
1.3.1.14     16366.61   606.17
3.4.21.83    16348.73   605.51
6.6.1.1      16284.69   603.14
6.4.1.1      16263.90   602.37
4.2.1.49     16262.60   602.32
6.3.4.21     16232.92   601.22
1.11.1.21    16186.49   599.50
2.1.1.199    16129.63   597.39
4.1.1.23     16126.92   597.29
5.3.1.23     16097.42   596.20
2.4.2.10     16073.28   595.31
6.5.1.6      16048.84   594.40
6.5.1.7      16048.84   594.40
2.8.1.11     16029.98   593.70
2.3.1.241    16022.00   593.41
1.3.3.4      15995.68   592.43
1.3.3.15     15995.68   592.43
3.5.1.18     15991.96   592.29
2.7.1.4      15989.27   592.20
2.3.1.30     15939.24   590.34
1.1.3.6      15903.02   589.00
5.5.1.4      15880.17   588.15
3.1.3.48     15852.41   587.13
2.7.1.6      15830.87   586.33
2.1.1.182    15828.46   586.24
2.4.2.18     15753.01   583.44
2.8.1.8      15718.29   582.16
1.3.1.98     15716.06   582.08
2.7.4.16     15651.73   579.69
3.1.5.1      15629.47   578.87
2.1.1.137    15598.04   577.71
3.1.4.46     15572.85   576.77
2.1.2.11     15562.05   576.37
2.5.1.141    15530.57   575.21
6.1.1.18     15514.43   574.61
3.5.1.108    15503.68   574.21
2.3.2.3      15486.10   573.56
5.4.99.12    15475.57   573.17
2.3.1.35     15448.76   572.18
3.5.4.16     15413.41   570.87
3.5.2.7      15345.13   568.34
3.4.21.92    15264.10   565.34
2.9.1.1      15232.75   564.18
1.5.1.40     15225.60   563.91
4.1.99.17    15197.41   562.87
4.2.1.24     15148.08   561.04
3.4.11.5     15143.09   560.86
3.1.3.7      15126.29   560.23
4.99.1.12    14999.68   555.54
2.5.1.77     14971.21   554.49
2.7.4.25     14939.29   553.31
3.4.21.88    14922.52   552.69
2.4.1.182    14914.21   552.38
4.1.2.4      14893.91   551.63
4.4.1.11     14839.25   549.60
5.4.99.5     14801.92   548.22
5.3.1.24     14798.21   548.08
2.7.7.41     14783.90   547.55
2.7.1.33     14776.11   547.26
2.7.1.45     14773.24   547.16
2.7.1.148    14760.08   546.67
2.7.1.16     14734.72   545.73
6.3.4.15     14715.06   545.00
1.1.1.271    14704.37   544.61
2.1.2.5      14653.73   542.73
2.4.2.8      14605.78   540.95
5.3.1.4      14600.60   540.76
2.7.7.60     14563.63   539.39
3.8.1.2      14536.06   538.37
2.3.3.9      14527.85   538.07
5.3.1.28     14524.90   537.96
1.17.1.10    14520.07   537.78
4.2.1.1      14517.55   537.69
2.3.1.8      14467.37   535.83
2.1.1.185    14457.58   535.47
1.5.1.2      14447.65   535.10
2.1.1.228    14438.26   534.75
2.7.2.8      14417.10   533.97
4.1.1.44     14354.84   531.66
2.8.1.1      14294.38   529.42
2.8.1.2      14283.61   529.02
1.4.1.4      14275.57   528.72
2.6.1.22     14259.07   528.11
4.2.1.59     14248.45   527.72
3.1.13.1     14231.38   527.09
2.4.99.16    14180.39   525.20
1.13.12.16   14118.51   522.91
1.1.9.1      14111.90   522.66
2.4.2.28     14087.45   521.76
2.7.1.180    14056.31   520.60
5.1.3.13     14026.16   519.49
3.1.3.11     14022.56   519.35
