# number of annotations: 3391
# number of IDs: 27
# %sparse: 19.56

# the sum and mean counts per row
                    sum       mean
enzyme                            
Unclassified  195809787 7252214.33
3.5.4.16          47914    1774.59
2.7.4.16          47776    1769.48
2.4.2.18          47749    1768.48
2.4.1.339         47731    1767.81
2.4.1.340         47731    1767.81
1.1.1.271         47672    1765.63
1.3.1.98          47640    1764.44
2.3.1.8           47568    1761.78
3.4.21.92         47511    1759.67
3.4.21.83         47056    1742.81
2.4.2.19          47018    1741.41
3.5.1.108         46922    1737.85
2.7.1.4           46856    1735.41
4.2.1.24          46719    1730.33
5.4.99.5          46596    1725.78
3.1.3.7           46359    1717.00
3.1.5.1           46275    1713.89
5.3.1.4           46162    1709.70
2.1.2.11          46076    1706.52
2.7.7.41          45786    1695.78
2.8.1.11          45779    1695.52
6.3.4.21          45590    1688.52
2.1.2.5           45481    1684.48
2.5.1.72          45469    1684.04
2.7.1.148         45463    1683.81
2.1.1.185         45363    1680.11
2.7.7.87          45323    1678.63
2.1.1.228         44758    1657.70
2.5.1.141         44593    1651.59
2.7.2.8           44530    1649.26
2.6.1.85          44395    1644.26
2.4.1.182         44343    1642.33
4.2.1.59          44120    1634.07
5.3.1.24          43885    1625.37
6.3.4.15          43835    1623.52
2.7.1.33          43815    1622.78
1.1.1.94          43722    1619.33
4.99.1.4          43640    1616.30
1.7.2.5           43622    1615.63
1.3.1.1           43617    1615.44
3.1.3.48          43609    1615.15
2.7.7.60          43607    1615.07
2.7.4.22          43574    1613.85
3.4.21.88         43551    1613.00
1.2.7.7           43441    1608.93
3.5.2.7           43239    1601.44
2.4.2.28          43201    1600.04
1.5.1.2           43141    1597.81
2.5.1.77          43027    1593.59
1.3.1.76          42974    1591.63
2.4.2.8           42970    1591.48
5.1.1.7           42964    1591.26
1.5.1.40          42936    1590.22
5.1.3.13          42871    1587.81
2.5.1.61          42657    1579.89
2.4.2.17          42631    1578.93
3.1.13.1          42589    1577.37
2.7.6.3           42523    1574.93
6.3.2.1           42522    1574.89
3.1.4.46          42500    1574.07
5.1.3.1           42500    1574.07
1.13.12.16        42238    1564.37
3.4.11.5          42011    1555.96
5.3.1.5           41953    1553.81
1.1.3.6           41907    1552.11
2.1.1.198         41901    1551.89
3.5.4.40          41766    1546.89
3.1.26.12         41722    1545.26
4.4.1.11          41709    1544.78
2.3.2.3           41633    1541.96
2.7.1.180         41054    1520.52
3.1.26.3          40979    1517.74
5.3.1.16          40917    1515.44
6.3.4.3           40898    1514.74
3.5.2.2           40874    1513.85
2.4.99.16         40795    1510.93
3.5.1.18          40752    1509.33
2.6.1.102         40737    1508.78
2.6.1.22          40556    1502.07
3.1.21.2          40239    1490.33
5.3.1.28          40151    1487.07
4.2.2.23          40082    1484.52
4.3.1.4           40044    1483.11
2.5.1.90          40001    1481.52
4.1.1.44          39998    1481.41
3.1.2.6           39934    1479.04
3.1.3.11          39895    1477.59
1.1.99.1          39844    1475.70
3.1.3.15          39697    1470.26
2.1.3.1           39662    1468.96
3.1.7.2           39536    1464.30
2.7.7.18          39404    1459.41
4.1.2.17          39371    1458.19
2.8.1.1           39330    1456.67
2.8.1.2           39306    1455.78
2.4.1.109         39257    1453.96
2.4.1.8           39195    1451.67
3.5.1.124         39059    1446.63
4.99.1.1          39039    1445.89
4.99.1.9          39039    1445.89
6.1.1.22          38977    1443.59
2.1.1.245         38965    1443.15
2.4.2.9           38815    1437.59
1.17.1.8          38630    1430.74
3.1.3.12          38603    1429.74
5.1.1.3           38598    1429.56
2.4.1.187         38559    1428.11
2.5.1.39          38497    1425.81
1.18.6.1          38393    1421.96
3.4.24.70         38311    1418.93
3.4.24.84         38282    1417.85
3.5.3.12          38231    1415.96
2.7.1.24          38183    1414.19
1.8.7.1           38000    1407.41
1.2.1.41          37989    1407.00
4.2.1.1           37988    1406.96
2.9.1.1           37940    1405.19
1.97.1.9          37879    1402.93
2.7.7.77          37865    1402.41
3.5.1.25          37569    1391.44
1.1.98.6          37564    1391.26
2.1.1.45          37532    1390.07
3.6.3.16          37518    1389.56
2.5.1.32          37428    1386.22
2.5.1.99          37407    1385.44
1.1.1.69          37397    1385.07
6.2.1.20          37394    1384.96
2.8.3.12          37315    1382.04
3.5.1.88          37288    1381.04
1.3.1.34          37247    1379.52
1.1.1.103         37226    1378.74
1.21.98.1         37005    1370.56
2.1.1.64          36948    1368.44
2.1.1.222         36937    1368.04
3.6.1.13          36826    1363.93
2.3.1.40          36770    1361.85
2.7.1.49          36666    1358.00
2.7.4.7           36666    1358.00
4.2.1.113         36659    1357.74
1.3.1.10          36642    1357.11
4.1.1.65          36588    1355.11
4.2.3.12          36431    1349.30
4.1.2.50          36424    1349.04
3.1.3.6           36242    1342.30
3.1.4.16          36242    1342.30
2.7.7.70          36114    1337.56
3.2.1.135         35962    1331.93
2.7.1.167         35941    1331.15
1.8.1.2           35710    1322.59
1.17.1.1          35598    1318.44
4.1.3.42          35573    1317.52
4.1.2.14          35573    1317.52
2.8.1.6           35547    1316.56
2.1.1.193         35493    1314.56
2.4.2.2           35381    1310.41
4.1.1.48          35333    1308.63
2.1.1.170         35280    1306.67
5.3.1.13          35192    1303.41
2.7.8.8           35169    1302.56
3.6.1.45          35073    1299.00
4.4.1.1           35009    1296.63
2.6.1.83          35006    1296.52
1.3.8.6           34945    1294.26
1.5.5.2           34914    1293.11
3.5.2.6           34863    1291.22
3.2.1.141         34784    1288.30
3.4.21.105        34729    1286.26
3.1.13.3          34641    1283.00
3.1.1.29          34600    1281.48
3.2.1.89          34577    1280.63
2.1.1.250         34507    1278.04
2.5.1.46          34500    1277.78
2.3.3.9           34499    1277.74
4.1.99.1          34259    1268.85
2.6.1.13          34169    1265.52
6.6.1.2           34159    1265.15
2.4.99.18         34116    1263.56
2.7.1.130         34106    1263.19
2.3.1.47          34098    1262.89
3.8.1.2           33900    1255.56
3.5.3.11          33628    1245.48
6.5.1.3           33552    1242.67
2.7.4.8           33508    1241.04
2.4.2.1           33413    1237.52
2.7.8.41          33284    1232.74
2.3.1.129         33232    1230.81
4.2.1.19          33009    1222.56
1.6.5.2           32966    1220.96
2.4.1.11          32937    1219.89
3.5.4.13          32915    1219.07
2.7.2.11          32725    1212.04
2.1.2.2           32476    1202.81
4.2.1.126         32428    1201.04
2.7.1.121         32351    1198.19
3.1.1.11          32348    1198.07
4.6.1.12          32316    1196.89
2.6.1.52          32132    1190.07
4.3.99.4          31985    1184.63
1.8.4.8           31944    1183.11
1.8.4.10          31944    1183.11
5.3.1.22          31932    1182.67
3.4.13.22         31858    1179.93
3.5.2.9           31756    1176.15
4.1.1.35          31754    1176.07
1.2.3.3           31729    1175.15
2.5.1.17          31680    1173.33
2.7.1.221         31634    1171.63
1.7.5.1           31622    1171.19
5.4.3.2           31567    1169.15
3.1.26.11         31409    1163.30
4.1.1.15          31355    1161.30
6.4.1.4           31269    1158.11
2.8.3.5           30946    1146.15
3.5.4.31          30944    1146.07
3.5.4.28          30944    1146.07
2.7.7.3           30936    1145.78
6.3.2.45          30889    1144.04
2.7.4.6           30824    1141.63
2.7.7.56          30797    1140.63
3.1.3.10          30767    1139.52
4.6.1.17          30750    1138.89
1.2.1.32          30670    1135.93
1.2.1.85          30670    1135.93
2.5.1.74          30568    1132.15
4.2.1.45          30558    1131.78
3.2.1.17          30416    1126.52
2.1.1.227         30289    1121.81
2.1.1.226         30289    1121.81
2.8.3.16          30285    1121.67
2.5.1.9           30277    1121.37
2.7.9.3           30270    1121.11
2.5.1.55          30255    1120.56
1.1.9.1           30240    1120.00
3.2.1.11          30077    1113.96
2.7.7.38          30054    1113.11
1.12.98.1         29798    1103.63
3.1.11.2          29738    1101.41
2.1.1.74          29594    1096.07
4.1.3.34          29587    1095.81
1.7.2.2           29279    1084.41
3.2.1.139         29253    1083.44
1.2.99.10         29160    1080.00
3.1.3.97          29060    1076.30
3.5.4.2           28962    1072.67
3.1.4.58          28939    1071.81
5.3.1.14          28924    1071.26
2.5.1.78          28703    1063.07
5.1.3.4           28632    1060.44
3.4.17.11         28616    1059.85
1.1.2.3           28554    1057.56
1.11.1.5          28546    1057.26
